(square,wait,dice)
0:(0,0,2)
1:(0,0,3)
2:(0,0,5)
3:(0,0,6)
4:(0,0,7)
5:(0,0,8)
6:(0,0,9)
7:(0,0,10)
8:(0,0,11)
9:(0,0,12)
10:(2,0,2)
11:(2,0,3)
12:(2,0,7)
13:(3,0,2)
14:(3,0,3)
15:(3,0,6)
16:(4,0,2)
17:(4,0,4)
18:(4,0,5)
19:(5,0,2)
20:(5,0,3)
21:(5,0,5)
22:(6,0,2)
23:(6,0,3)
24:(6,0,4)
25:(6,0,6)
26:(7,0,2)
27:(7,0,3)
28:(7,0,4)
29:(7,0,5)
30:(7,0,7)
31:(8,0,4)
32:(8,0,5)
33:(8,0,6)
34:(8,0,8)
35:(9,0,2)
36:(9,0,5)
37:(9,0,6)
38:(9,0,7)
39:(9,0,9)
40:(10,0,2)
41:(10,0,3)
42:(10,0,6)
43:(10,0,7)
44:(10,0,8)
45:(10,0,10)
46:(11,0,3)
47:(11,0,4)
48:(11,0,7)
49:(11,0,8)
50:(11,0,9)
51:(11,0,11)
52:(11,0,12)
53:(12,0,2)
54:(12,0,3)
55:(12,0,4)
56:(12,0,5)
57:(12,0,6)
58:(12,0,8)
59:(12,0,9)
60:(12,0,10)
61:(12,0,11)
62:(12,0,12)
63:(13,0,2)
64:(13,0,3)
65:(13,0,5)
66:(13,0,6)
67:(13,0,9)
68:(13,0,10)
69:(13,0,11)
70:(14,0,2)
71:(14,0,3)
72:(14,0,4)
73:(14,0,6)
74:(14,0,7)
75:(14,0,10)
76:(14,0,11)
77:(14,0,12)
78:(15,0,2)
79:(15,0,3)
80:(15,0,4)
81:(15,0,5)
82:(15,0,7)
83:(15,0,8)
84:(15,0,11)
85:(15,0,12)
86:(16,0,2)
87:(16,0,3)
88:(16,0,4)
89:(16,0,5)
90:(16,0,6)
91:(16,0,7)
92:(16,0,8)
93:(16,0,9)
94:(16,0,11)
95:(16,0,12)
96:(17,0,2)
97:(17,0,3)
98:(17,0,4)
99:(17,0,5)
100:(17,0,6)
101:(17,0,7)
102:(17,0,9)
103:(17,0,10)
104:(18,0,2)
105:(18,0,3)
106:(18,0,4)
107:(18,0,5)
108:(18,0,6)
109:(18,0,7)
110:(18,0,8)
111:(18,0,10)
112:(18,0,11)
113:(19,0,2)
114:(19,0,3)
115:(19,0,4)
116:(19,0,6)
117:(19,0,7)
118:(19,0,8)
119:(19,0,9)
120:(19,0,11)
121:(19,0,12)
122:(19,1,2)
123:(19,1,3)
124:(19,1,4)
125:(19,1,6)
126:(19,1,7)
127:(19,1,8)
128:(19,1,9)
129:(19,1,11)
130:(19,1,12)
131:(19,2,2)
132:(19,2,3)
133:(19,2,4)
134:(19,2,6)
135:(19,2,7)
136:(19,2,8)
137:(19,2,9)
138:(19,2,11)
139:(19,2,12)
140:(20,0,2)
141:(20,0,3)
142:(20,0,4)
143:(20,0,5)
144:(20,0,6)
145:(20,0,7)
146:(20,0,8)
147:(20,0,9)
148:(20,0,10)
149:(20,0,12)
150:(21,0,2)
151:(21,0,3)
152:(21,0,4)
153:(21,0,5)
154:(21,0,6)
155:(21,0,7)
156:(21,0,8)
157:(21,0,9)
158:(21,0,10)
159:(21,0,11)
160:(22,0,2)
161:(22,0,3)
162:(22,0,4)
163:(22,0,5)
164:(22,0,6)
165:(22,0,7)
166:(22,0,9)
167:(22,0,10)
168:(22,0,11)
169:(22,0,12)
170:(23,0,2)
171:(23,0,3)
172:(23,0,4)
173:(23,0,5)
174:(23,0,6)
175:(23,0,7)
176:(23,0,8)
177:(23,0,10)
178:(23,0,11)
179:(23,0,12)
180:(23,1,5)
181:(24,0,2)
182:(24,0,3)
183:(24,0,4)
184:(24,0,5)
185:(24,0,6)
186:(24,0,7)
187:(24,0,8)
188:(24,0,9)
189:(24,0,10)
190:(24,0,11)
191:(24,0,12)
192:(25,0,2)
193:(25,0,3)
194:(25,0,4)
195:(25,0,5)
196:(25,0,6)
197:(25,0,7)
198:(25,0,8)
199:(25,0,9)
200:(25,0,10)
201:(25,0,11)
202:(25,0,12)
203:(26,0,2)
204:(26,0,4)
205:(26,0,5)
206:(26,0,6)
207:(26,0,7)
208:(26,0,8)
209:(26,0,9)
210:(26,0,10)
211:(26,0,11)
212:(26,0,12)
213:(27,0,2)
214:(27,0,3)
215:(27,0,5)
216:(27,0,6)
217:(27,0,7)
218:(27,0,8)
219:(27,0,10)
220:(27,0,11)
221:(27,0,12)
222:(28,0,2)
223:(28,0,3)
224:(28,0,4)
225:(28,0,6)
226:(28,0,7)
227:(28,0,8)
228:(28,0,9)
229:(28,0,10)
230:(28,0,11)
231:(28,0,12)
232:(29,0,3)
233:(29,0,4)
234:(29,0,5)
235:(29,0,7)
236:(29,0,8)
237:(29,0,9)
238:(29,0,10)
239:(29,0,11)
240:(29,0,12)
241:(30,0,2)
242:(30,0,3)
243:(30,0,4)
244:(30,0,5)
245:(30,0,6)
246:(30,0,7)
247:(30,0,8)
248:(30,0,9)
249:(30,0,10)
250:(30,0,11)
251:(30,0,12)
252:(31,0,2)
253:(31,0,3)
254:(31,0,5)
255:(31,0,6)
256:(31,0,7)
257:(31,0,9)
258:(31,0,10)
259:(31,0,11)
260:(31,0,12)
261:(32,0,2)
262:(32,0,3)
263:(32,0,4)
264:(32,0,6)
265:(32,0,7)
266:(32,0,8)
267:(32,0,10)
268:(32,0,11)
269:(32,0,12)
270:(33,0,2)
271:(33,0,3)
272:(33,0,4)
273:(33,0,5)
274:(33,0,7)
275:(33,0,8)
276:(33,0,9)
277:(33,0,11)
278:(33,0,12)
279:(34,0,2)
280:(34,0,3)
281:(34,0,4)
282:(34,0,5)
283:(34,0,6)
284:(34,0,7)
285:(34,0,8)
286:(34,0,9)
287:(34,0,10)
288:(34,0,11)
289:(34,0,12)
290:(35,0,2)
291:(35,0,3)
292:(35,0,4)
293:(35,0,5)
294:(35,0,6)
295:(35,0,7)
296:(35,0,9)
297:(35,0,10)
298:(35,0,11)
299:(36,0,2)
300:(36,0,3)
301:(36,0,4)
302:(36,0,5)
303:(36,0,6)
304:(36,0,7)
305:(36,0,8)
306:(36,0,10)
307:(36,0,11)
308:(36,0,12)
309:(37,0,2)
310:(37,0,3)
311:(37,0,4)
312:(37,0,6)
313:(37,0,7)
314:(37,0,8)
315:(37,0,9)
316:(37,0,11)
317:(37,0,12)
318:(38,0,2)
319:(38,0,3)
320:(38,0,4)
321:(38,0,5)
322:(38,0,6)
323:(38,0,7)
324:(38,0,8)
325:(38,0,9)
326:(38,0,10)
327:(38,0,12)
328:(39,0,2)
329:(39,0,3)
330:(39,0,4)
331:(39,0,5)
332:(39,0,6)
333:(39,0,7)
334:(39,0,8)
335:(39,0,9)
336:(39,0,10)
337:(39,0,11)
338:(40,0,2)
339:(40,0,3)
340:(40,0,4)
341:(40,0,5)
342:(40,0,6)
343:(40,0,7)
344:(40,0,8)
345:(40,0,9)
346:(40,0,10)
347:(40,0,11)
348:(40,0,12)
349:(41,0,2)
350:(41,0,3)
351:(41,0,4)
352:(41,0,5)
353:(41,0,6)
354:(41,0,7)
355:(41,0,8)
356:(41,0,10)
357:(41,0,11)
358:(41,0,12)
359:(42,0,2)
360:(42,0,3)
361:(42,0,4)
362:(42,0,5)
363:(42,0,6)
364:(42,0,7)
365:(42,0,8)
366:(42,0,9)
367:(42,0,10)
368:(42,0,11)
369:(42,0,12)
370:(43,0,2)
371:(43,0,3)
372:(43,0,4)
373:(43,0,5)
374:(43,0,6)
375:(43,0,7)
376:(43,0,8)
377:(43,0,9)
378:(43,0,10)
379:(43,0,11)
380:(43,0,12)
381:(44,0,4)
382:(44,0,5)
383:(44,0,6)
384:(44,0,7)
385:(44,0,8)
386:(44,0,9)
387:(44,0,10)
388:(44,0,11)
389:(44,0,12)
390:(45,0,2)
391:(45,0,5)
392:(45,0,6)
393:(45,0,7)
394:(45,0,8)
395:(45,0,10)
396:(45,0,11)
397:(45,0,12)
398:(46,0,2)
399:(46,0,3)
400:(46,0,6)
401:(46,0,7)
402:(46,0,8)
403:(46,0,9)
404:(46,0,10)
405:(46,0,11)
406:(46,0,12)
407:(47,0,3)
408:(47,0,4)
409:(47,0,7)
410:(47,0,8)
411:(47,0,9)
412:(47,0,10)
413:(47,0,11)
414:(47,0,12)
415:(48,0,2)
416:(48,0,4)
417:(48,0,5)
418:(48,0,6)
419:(48,0,8)
420:(48,0,9)
421:(48,0,10)
422:(48,0,11)
423:(48,0,12)
424:(49,0,2)
425:(49,0,3)
426:(49,0,5)
427:(49,0,6)
428:(49,0,9)
429:(49,0,10)
430:(49,0,11)
431:(49,0,12)
432:(50,0,2)
433:(50,0,3)
434:(50,0,4)
435:(50,0,6)
436:(50,0,7)
437:(50,0,10)
438:(50,0,11)
439:(50,0,12)
440:(51,0,2)
441:(51,0,3)
442:(51,0,4)
443:(51,0,5)
444:(51,0,7)
445:(51,0,8)
446:(51,0,11)
447:(51,0,12)
448:(52,0,2)
449:(52,0,3)
450:(52,0,4)
451:(52,0,5)
452:(52,0,6)
453:(52,0,8)
454:(52,0,9)
455:(52,0,12)
456:(52,1,2)
457:(52,1,3)
458:(52,1,4)
459:(52,1,5)
460:(52,1,6)
461:(52,1,8)
462:(52,1,9)
463:(52,1,12)
464:(52,2,2)
465:(52,2,3)
466:(52,2,4)
467:(52,2,5)
468:(52,2,6)
469:(52,2,8)
470:(52,2,9)
471:(52,2,12)
472:(53,0,2)
473:(53,0,3)
474:(53,0,4)
475:(53,0,5)
476:(53,0,6)
477:(53,0,7)
478:(53,0,9)
479:(53,0,10)
480:(53,0,11)
481:(53,0,12)
482:(54,0,2)
483:(54,0,3)
484:(54,0,4)
485:(54,0,5)
486:(54,0,6)
487:(54,0,7)
488:(54,0,8)
489:(54,0,10)
490:(54,0,11)
491:(54,0,12)
492:(54,1,4)
493:(55,0,2)
494:(55,0,3)
495:(55,0,4)
496:(55,0,6)
497:(55,0,7)
498:(55,0,8)
499:(55,0,9)
500:(55,0,10)
501:(55,0,11)
502:(55,0,12)
503:(56,0,3)
504:(56,0,4)
505:(56,0,5)
506:(56,0,6)
507:(56,0,7)
508:(56,0,8)
509:(56,0,9)
510:(56,0,10)
511:(56,0,11)
512:(56,0,12)
513:(57,0,2)
514:(57,0,4)
515:(57,0,5)
516:(57,0,6)
517:(57,0,7)
518:(57,0,8)
519:(57,0,9)
520:(57,0,10)
521:(57,0,11)
522:(57,0,12)
523:(58,0,2)
524:(58,0,3)
525:(58,0,5)
526:(58,0,6)
527:(58,0,7)
528:(58,0,8)
529:(58,0,9)
530:(58,0,10)
531:(58,0,11)
532:(58,0,12)
533:(59,0,2)
534:(59,0,3)
535:(59,0,4)
536:(59,0,5)
537:(59,0,6)
538:(59,0,7)
539:(59,0,8)
540:(59,0,10)
541:(59,0,11)
542:(59,0,12)
543:(60,0,3)
544:(60,0,4)
545:(60,0,5)
546:(60,0,6)
547:(60,0,7)
548:(60,0,8)
549:(60,0,9)
550:(60,0,10)
551:(60,0,11)
552:(60,0,12)
553:(61,0,2)
554:(61,0,3)
555:(61,0,4)
556:(61,0,5)
557:(61,0,6)
558:(61,0,8)
559:(61,0,9)
560:(61,0,10)
561:(61,0,11)
562:(61,0,12)
563:(62,0,2)
564:(62,0,3)
565:(62,0,4)
566:(62,0,5)
567:(62,0,6)
568:(62,0,7)
569:(62,0,8)
570:(62,0,9)
571:(62,0,10)
572:(62,0,11)
573:(62,0,12)
574:(63,0,2)
575:(63,0,3)
576:(63,0,4)
577:(63,0,6)
578:(63,0,7)
579:(63,0,8)
580:(63,0,10)
581:(63,0,11)
582:(63,0,12)
